7.0 0.42857142857142855 0.42857142857142855	9.0 0.4444444444444444 0.4444444444444444	3.0 0.6666666666666666 0.6666666666666666	7.0 0.2857142857142857 0.2857142857142857	9.0 0.7777777777777778 0.7777777777777778	18.0 0.5 0.5	2.0 0.0 0.0	8.0 0.625 0.625	5.0 0.6 0.6	17.0 0.11764705882352941 0.11764705882352941	
8.0 0.5 0.5714285714285714	10.0 0.5 0.5555555555555556	4.0 0.5 0.6666666666666666	8.0 0.25 0.2857142857142857	10.0 0.7 0.7777777777777778	19.0 0.47368421052631576 0.5	3.0 0.0 0.0	9.0 0.6666666666666666 0.75	6.0 0.5 0.6	18.0 0.1111111111111111 0.11764705882352941	
9.0 0.5555555555555556 0.7142857142857143	11.0 0.5454545454545454 0.6666666666666666	5.0 0.6 1.0	9.0 0.2222222222222222 0.2857142857142857	11.0 0.7272727272727273 0.8888888888888888	20.0 0.5 0.5555555555555556	3.0 0.0 0.0	10.0 0.6 0.75	7.0 0.42857142857142855 0.6	19.0 0.15789473684210525 0.17647058823529413	
10.0 0.5 0.7142857142857143	12.0 0.5 0.6666666666666666	5.0 0.6 1.0	10.0 0.2 0.2857142857142857	12.0 0.6666666666666666 0.8888888888888888	21.0 0.47619047619047616 0.5555555555555556	3.0 0.0 0.0	11.0 0.5454545454545454 0.75	8.0 0.375 0.6	20.0 0.15 0.17647058823529413	
11.0 0.45454545454545453 0.7142857142857143	13.0 0.46153846153846156 0.6666666666666666	5.0 0.6 1.0	11.0 0.18181818181818182 0.2857142857142857	13.0 0.6153846153846154 0.8888888888888888	22.0 0.5 0.6111111111111112	3.0 0.0 0.0	12.0 0.5 0.75	9.0 0.3333333333333333 0.6	21.0 0.14285714285714285 0.17647058823529413	
12.0 0.5 0.8571428571428571	14.0 0.42857142857142855 0.6666666666666666	5.0 0.6 1.0	12.0 0.16666666666666666 0.2857142857142857	14.0 0.5714285714285714 0.8888888888888888	23.0 0.5217391304347826 0.6666666666666666	3.0 0.0 0.0	13.0 0.46153846153846156 0.75	9.0 0.3333333333333333 0.6	22.0 0.13636363636363635 0.17647058823529413	
13.0 0.46153846153846156 0.8571428571428571	15.0 0.4 0.6666666666666666	5.0 0.6 1.0	13.0 0.15384615384615385 0.2857142857142857	15.0 0.5333333333333333 0.8888888888888888	24.0 0.5 0.6666666666666666	3.0 0.0 0.0	14.0 0.42857142857142855 0.75	9.0 0.3333333333333333 0.6	23.0 0.13043478260869565 0.17647058823529413	
13.0 0.46153846153846156 0.8571428571428571	16.0 0.375 0.6666666666666666	5.0 0.6 1.0	13.0 0.15384615384615385 0.2857142857142857	16.0 0.5 0.8888888888888888	25.0 0.48 0.6666666666666666	3.0 0.0 0.0	15.0 0.4 0.75	9.0 0.3333333333333333 0.6	24.0 0.125 0.17647058823529413	
13.0 0.46153846153846156 0.8571428571428571	17.0 0.35294117647058826 0.6666666666666666	5.0 0.6 1.0	13.0 0.15384615384615385 0.2857142857142857	17.0 0.47058823529411764 0.8888888888888888	26.0 0.46153846153846156 0.6666666666666666	3.0 0.0 0.0	15.0 0.4 0.75	9.0 0.3333333333333333 0.6	25.0 0.12 0.17647058823529413	
13.0 0.46153846153846156 0.8571428571428571	17.0 0.35294117647058826 0.6666666666666666	5.0 0.6 1.0	13.0 0.15384615384615385 0.2857142857142857	17.0 0.47058823529411764 0.8888888888888888	27.0 0.4444444444444444 0.6666666666666666	3.0 0.0 0.0	15.0 0.4 0.75	9.0 0.3333333333333333 0.6	26.0 0.11538461538461539 0.17647058823529413	
13.0 0.46153846153846156 0.8571428571428571	17.0 0.35294117647058826 0.6666666666666666	5.0 0.6 1.0	13.0 0.15384615384615385 0.2857142857142857	17.0 0.47058823529411764 0.8888888888888888	28.0 0.42857142857142855 0.6666666666666666	3.0 0.0 0.0	15.0 0.4 0.75	9.0 0.3333333333333333 0.6	27.0 0.1111111111111111 0.17647058823529413	
